#,Timestamp,ID (hex),DLC,Data (hex),Type
407,16:25:24.301,0x083,8,00 00 95 0B 93 0B 38 04,STD
408,16:25:24.332,0x084,8,84 85 01 01 00 05 2B 01,STD
409,16:25:24.348,0x032,8,00 00 01 00 00 00 00 01,STD
410,16:25:24.379,0x085,8,00 00 03 00 00 00 01 00,STD
411,16:25:24.410,0x086,8,02 5C 02 1E 00 01 01 01,STD
412,16:25:24.426,0x087,8,00 04 01 64 01 01 09 03,STD
413,16:25:24.457,0x088,8,04 1E 28 42 58 00 00 00,STD
414,16:25:24.473,0x089,8,04 04 04 04 04 00 00 00,STD
415,16:25:24.504,0x08A,8,04 00 00 00 00 00 00 00,STD
416,16:25:24.535,0x033,8,00 00 64 64 00 00 00 00,STD
417,16:25:24.550,0x08C,8,00 00 00 00 00 00 00 00,STD
418,16:25:24.582,0x08D,8,01 00 02 00 00 00 00 04,STD
419,16:25:24.801,0x08E,8,00 02 00 00 14 14 00 00,STD
420,16:25:24.816,0x08F,8,0D 00 03 01 00 00 00 00,STD
421,16:25:24.832,0x0AF,8,00 04 01 64 01 01 09 03,STD
422,16:25:24.848,0x091,8,01 03 00 00 00 00 02 00,STD
423,16:25:24.879,0x092,8,00 01 01 01 03 02 02 03,STD
424,16:25:24.895,0x032,8,00 00 01 00 00 00 00 01,STD
425,16:25:24.895,0x0B5,8,01 00 02 00 00 00 00 04,STD
426,16:25:24.926,0x093,8,01 01 39 0D 00 06 03 01,STD
427,16:25:24.958,0x00B,8,65 7F 64 64 04 04 00 00,STD
428,16:25:25.802,0x036,8,00 00 00 00 00 00 00 00,STD
429,16:25:26.069,0x033,8,00 00 64 64 00 00 00 00,STD
430,16:25:26.101,0x027,8,F0 00 00 00 00 00 00 00,STD
431,16:25:26.179,0x02B,8,F0 00 00 00 00 00 00 00,STD
432,16:25:26.241,0x032,8,00 00 01 00 00 00 00 01,STD
433,16:25:26.273,0x034,8,04 00 00 00 00 00 00 00,STD
434,16:25:26.304,0x035,8,01 00 38 00 00 00 1F 00,STD
435,16:25:26.320,0x05A,8,00 00 00 00 00 00 00 00,STD
436,16:25:26.351,0x05B,8,7F 00 00 00 04 00 00 00,STD
437,16:25:26.367,0x083,8,00 00 95 0B 93 0B 38 04,STD
438,16:25:26.398,0x084,8,84 85 01 01 00 05 2B 01,STD
439,16:25:26.414,0x033,8,00 00 64 64 00 00 00 00,STD
440,16:25:26.445,0x085,8,00 00 03 00 00 00 01 00,STD
441,16:25:26.461,0x086,8,02 5C 02 1E 00 01 01 01,STD
442,16:25:26.492,0x087,8,00 04 01 64 01 01 09 03,STD
443,16:25:26.524,0x088,8,05 1E 28 42 58 00 00 00,STD
444,16:25:26.539,0x089,8,05 04 04 04 04 00 00 00,STD
445,16:25:26.570,0x08A,8,05 00 00 00 00 00 00 00,STD
446,16:25:26.586,0x032,8,00 00 01 00 00 00 00 01,STD
447,16:25:26.617,0x08C,8,00 00 00 00 00 00 00 00,STD
448,16:25:26.633,0x08D,8,01 00 02 00 00 00 00 04,STD
449,16:25:26.665,0x08E,8,00 02 00 00 14 14 00 00,STD
450,16:25:26.696,0x08F,8,0D 00 03 01 00 00 00 00,STD
451,16:25:26.915,0x091,8,01 03 00 00 00 00 02 00,STD
452,16:25:26.946,0x092,8,00 01 01 01 03 02 02 03,STD
453,16:25:26.962,0x033,8,00 00 64 64 00 00 00 00,STD
454,16:25:26.993,0x093,8,01 01 39 0D 00 06 03 01,STD
455,16:25:27.071,0x036,8,00 00 00 00 00 00 00 00,STD
456,16:25:27.134,0x032,8,00 00 01 00 00 00 00 01,STD
457,16:25:27.166,0x027,8,F1 00 00 00 00 00 00 00,STD
458,16:25:27.244,0x02B,8,F1 00 00 00 00 00 00 00,STD
459,16:25:27.511,0x033,8,00 00 64 64 00 00 00 00,STD
460,16:25:27.527,0x034,8,04 00 00 00 00 00 00 00,STD
461,16:25:27.558,0x035,8,01 00 38 00 00 00 1F 00,STD
462,16:25:27.590,0x05A,8,00 00 00 00 00 00 00 00,STD
